epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,61.3527,1.77212,0.90334,0.99694,0.28014,0.00333167,0.00333167,0.00333167
2,114.104,0.37701,0.96583,0.99974,0.09576,0.00653303,0.00653303,0.00653303
3,164.084,0.28275,0.96889,0.99962,0.08424,0.0096024,0.0096024,0.0096024
4,213.234,0.24478,0.97909,1,0.05643,0.009406,0.009406,0.009406
5,262.775,0.17721,0.98546,1,0.04284,0.009208,0.009208,0.009208
6,312.735,0.14745,0.98789,1,0.03467,0.00901,0.00901,0.00901
7,363.62,0.13327,0.99056,1,0.0281,0.008812,0.008812,0.008812
8,413.784,0.12228,0.99286,1,0.02131,0.008614,0.008614,0.008614
9,463.78,0.12008,0.99413,1,0.01792,0.008416,0.008416,0.008416
10,514.119,0.11589,0.99579,0.99987,0.01245,0.008218,0.008218,0.008218
11,564.735,0.10838,0.99681,1,0.0126,0.00802,0.00802,0.00802
12,615.582,0.09359,0.99656,1,0.01132,0.007822,0.007822,0.007822
13,666.097,0.09679,0.99592,1,0.01376,0.007624,0.007624,0.007624
14,716.865,0.09471,0.99681,1,0.01063,0.007426,0.007426,0.007426
15,767.596,0.08891,0.99707,1,0.01148,0.007228,0.007228,0.007228
16,818.372,0.08671,0.99681,1,0.01073,0.00703,0.00703,0.00703
17,868.33,0.08328,0.99681,1,0.00881,0.006832,0.006832,0.006832
18,917.248,0.08692,0.99758,1,0.00895,0.006634,0.006634,0.006634
19,966.525,0.08094,0.99809,1,0.00691,0.006436,0.006436,0.006436
20,1016.47,0.07542,0.99821,1,0.00584,0.006238,0.006238,0.006238
21,1066.42,0.07442,0.9977,1,0.0069,0.00604,0.00604,0.00604
22,1114.65,0.07356,0.99745,1,0.00731,0.005842,0.005842,0.005842
23,1162.4,0.07002,0.9977,1,0.0063,0.005644,0.005644,0.005644
24,1210.09,0.06659,0.99809,1,0.00606,0.005446,0.005446,0.005446
25,1258.7,0.06853,0.99809,1,0.00563,0.005248,0.005248,0.005248
26,1306.76,0.06533,0.99872,1,0.00462,0.00505,0.00505,0.00505
27,1354.7,0.06296,0.99885,1,0.00406,0.004852,0.004852,0.004852
28,1402.53,0.05712,0.99872,1,0.00387,0.004654,0.004654,0.004654
29,1450.33,0.05635,0.99885,1,0.00373,0.004456,0.004456,0.004456
30,1498.59,0.06099,0.99885,1,0.00375,0.004258,0.004258,0.004258
31,1546.38,0.05757,0.99885,1,0.0037,0.00406,0.00406,0.00406
32,1594.02,0.055,0.99885,1,0.00365,0.003862,0.003862,0.003862
33,1642.16,0.0504,0.9986,1,0.00362,0.003664,0.003664,0.003664
34,1690.14,0.04889,0.99872,1,0.00358,0.003466,0.003466,0.003466
35,1738.48,0.04755,0.99885,1,0.00346,0.003268,0.003268,0.003268
36,1786.07,0.05139,0.99898,1,0.00335,0.00307,0.00307,0.00307
37,1833.96,0.04514,0.99898,1,0.00326,0.002872,0.002872,0.002872
38,1882.17,0.04442,0.99923,1,0.00312,0.002674,0.002674,0.002674
39,1929.86,0.04066,0.99949,1,0.00303,0.002476,0.002476,0.002476
40,1977.58,0.03632,0.99949,1,0.00292,0.002278,0.002278,0.002278
41,2056.39,0.03893,0.99949,1,0.00285,0.00208,0.00208,0.00208
42,2104.91,0.03536,0.99949,1,0.00281,0.001882,0.001882,0.001882
43,2153.38,0.03513,0.99962,1,0.00278,0.001684,0.001684,0.001684
44,2201.48,0.03247,0.99962,1,0.00275,0.001486,0.001486,0.001486
45,2249.76,0.03084,0.99949,1,0.00269,0.001288,0.001288,0.001288
46,2297.88,0.02793,0.99949,1,0.00265,0.00109,0.00109,0.00109
47,2345.99,0.02725,0.99949,1,0.00258,0.000892,0.000892,0.000892
48,2394.26,0.02652,0.99949,1,0.0025,0.000694,0.000694,0.000694
49,2442.56,0.02411,0.99949,1,0.00243,0.000496,0.000496,0.000496
50,2490.72,0.02503,0.99949,1,0.00236,0.000298,0.000298,0.000298
